name,x,y
poly_2,69.666,30.131
poly_2,69.658,30.085
poly_2,69.643,30.091
poly_2,69.644,30.138
poly_2,69.553,30.185
poly_2,69.514,30.119
poly_2,69.468,30.115
poly_2,69.425,30.035
poly_2,69.405,29.948
poly_2,69.423,29.852
poly_2,69.389,29.723
poly_2,69.319,29.573
poly_2,69.329,29.52
poly_2,69.322,29.391
poly_2,69.297,29.291
poly_2,69.254,29.28
poly_2,69.234,29.314
poly_2,69.113,29.242
poly_2,69.011,29.041
poly_2,69.052,28.929
poly_2,69.111,28.805
poly_2,69.224,28.832
poly_2,69.398,29.219
poly_2,69.478,29.336
poly_2,69.695,29.134
poly_2,69.818,28.404
poly_2,69.849,28.33
poly_2,69.881,28.345
poly_2,69.921,28.161
poly_2,70.014,27.984
poly_2,70.092,27.959
poly_2,70.064,27.744
poly_2,70.077,27.674
poly_2,70.067,27.577
poly_2,70.023,27.524
poly_2,70.019,27.431
poly_2,69.979,27.278
poly_2,69.953,27.296
poly_2,69.911,27.04
poly_2,69.938,26.97
poly_2,69.933,26.878
poly_2,69.96,26.851
poly_2,69.945,26.718
poly_2,69.965,26.679
poly_2,69.94,26.467
poly_2,69.854,26.384
poly_2,69.816,26.243
poly_2,69.796,26.246
poly_2,69.735,26.126
poly_2,69.723,26.007
poly_2,69.67,25.897
poly_2,69.636,25.962
poly_2,69.586,25.947
poly_2,69.585,25.947
poly_2,69.583,25.948
poly_2,69.547,25.841
poly_2,69.526,25.877
poly_2,69.476,25.864
poly_2,69.421,25.793
poly_2,69.393,25.847
poly_2,69.34,25.76
poly_2,69.263,25.73
poly_2,69.262,25.729
poly_2,69.262,25.73
poly_2,69.238,25.706
poly_2,69.179,25.714
poly_2,69.179,25.715
poly_2,69.167,25.719
poly_2,69.164,25.718
poly_2,69.152,25.73
poly_2,69.15,25.733
poly_2,69.149,25.735
poly_2,69.149,25.736
poly_2,69.147,25.739
poly_2,69.145,25.742
poly_2,69.144,25.743
poly_2,69.14,25.743
poly_2,69.139,25.744
poly_2,69.138,25.744
poly_2,69.137,25.743
poly_2,69.135,25.74
poly_2,69.134,25.737
poly_2,69.133,25.735
poly_2,69.131,25.733
poly_2,69.13,25.734
poly_2,69.129,25.733
poly_2,69.126,25.732
poly_2,69.125,25.732
poly_2,69.119,25.728
poly_2,69.115,25.723
poly_2,69.113,25.722
poly_2,69.112,25.722
poly_2,69.108,25.724
poly_2,69.107,25.725
poly_2,69.107,25.726
poly_2,69.105,25.731
poly_2,69.102,25.731
poly_2,69.072,25.733
poly_2,69.071,25.733
poly_2,69.069,25.736
poly_2,69.068,25.737
poly_2,69.067,25.739
poly_2,69.019,25.778
poly_2,68.998,25.741
poly_2,68.893,25.627
poly_2,68.883,25.586
poly_2,68.893,25.514
poly_2,68.895,25.512
poly_2,68.905,25.481
poly_2,68.891,25.398
poly_2,68.841,25.243
poly_2,68.787,25.142
poly_2,68.716,25.131
poly_2,68.715,25.131
poly_2,68.638,25.115
poly_2,68.62,25.069
poly_2,68.605,24.917
poly_2,68.555,24.903
poly_2,68.562,24.857
poly_2,68.636,24.783
poly_2,68.682,24.608
poly_2,68.727,24.251
poly_2,68.754,24.153
poly_2,68.79,24.159
poly_2,68.78,24.076
poly_2,68.827,23.983
poly_2,68.837,23.871
poly_2,68.819,23.775
poly_2,68.706,23.674
poly_2,68.692,23.441
poly_2,68.629,23.168
poly_2,68.689,23.046
poly_2,68.688,22.801
poly_2,68.745,22.535
poly_2,68.717,22.375
poly_2,68.827,22.341
poly_2,68.919,22.192
poly_2,68.956,22.176
poly_2,69.277,21.627
poly_2,69.312,21.279
poly_2,69.222,21.003
poly_2,69.192,20.988
poly_2,69.122,21.056
poly_2,69.104,21.109
poly_2,69.036,21.058
poly_2,69.12,20.717
poly_2,69.06,20.549
poly_2,69.046,20.06
poly_2,68.926,20.306
poly_2,68.802,20.336
poly_2,68.666,20.203
poly_2,68.591,20.052
poly_2,68.558,19.938
poly_2,68.491,20.226
poly_2,68.356,19.921
poly_2,68.404,19.647
poly_2,68.428,19.509
poly_2,68.434,19.472
poly_2,68.444,19.418
poly_2,68.468,19.276
poly_2,68.47,19.259
poly_2,68.504,19.061
poly_2,68.512,19.015
poly_2,68.515,18.927
poly_2,68.51,18.739
poly_2,68.507,18.627
poly_2,68.507,18.621
poly_2,68.539,18.534
poly_2,68.569,18.446
poly_2,68.582,18.406
poly_2,68.576,18.368
poly_2,68.569,18.329
poly_2,68.56,18.271
poly_2,68.54,18.145
poly_2,68.537,18.126
poly_2,68.483,18.116
poly_2,68.455,18.111
poly_2,68.412,18.102
poly_2,68.392,18.104
poly_2,68.379,18.107
poly_2,68.348,18.113
poly_2,68.337,18.116
poly_2,68.25,18.139
poly_2,68.248,18.139
poly_2,68.171,18.121
poly_2,68.128,18.075
poly_2,68.074,18.015
poly_2,68.019,17.954
poly_2,68.017,17.952
poly_2,67.97,17.901
poly_2,67.981,17.861
